Func,runtime
insertPoints , 0.65845
findPointsRtree , 0.00062
insertPoints , 0.69686
findPointsRtree , 0.00076
insertPoints , 0.71472
findPointsRtree , 0.00063
insertPoints , 0.67774
findPointsRtree , 0.00068
insertPoints , 0.88065
findPointsRtree , 0.0007
insertPoints , 0.70445
findPointsRtree , 0.00079
insertPoints , 0.84207
findPointsRtree , 0.00192
insertPoints , 0.65861
findPointsRtree , 0.00057
insertPoints , 0.64075
findPointsRtree , 0.00062
insertPoints , 0.65524
findPointsRtree , 0.00069
insertPoints , 0.71724
findPointsRtree , 0.00066
insertPoints , 0.68602
findPointsRtree , 0.00067
insertPoints , 0.56887
findPointsRtree , 0.00101
insertPoints , 0.69626
findPointsRtree , 0.00062
insertPoints , 0.68435
findPointsRtree , 0.00077
insertPoints , 0.60163
findPointsRtree , 0.00153
insertPoints , 0.63651
findPointsRtree , 0.00065
insertPoints , 0.79402
findPointsRtree , 0.00065
insertPoints , 0.68603
findPointsRtree , 0.00072
insertPoints , 0.63305
findPointsRtree , 0.00065
insertPoints , 0.64971
findPointsRtree , 0.00065
insertPoints , 0.54028
findPointsRtree , 0.00109
insertPoints , 0.61468
findPointsRtree , 0.00074
insertPoints , 0.73444
findPointsRtree , 0.00066
insertPoints , 0.66146
findPointsRtree , 0.0006
insertPoints , 0.57612
findPointsRtree , 0.00057
insertPoints , 0.64862
findPointsRtree , 0.0017
insertPoints , 0.85576
findPointsRtree , 0.00172
insertPoints , 0.69282
findPointsRtree , 0.00067
insertPoints , 0.62882
findPointsRtree , 0.00067
insertPoints , 0.67375
findPointsRtree , 0.00069
insertPoints , 0.65553
findPointsRtree , 0.00162
insertPoints , 0.94543
findPointsRtree , 0.00134
insertPoints , 0.74069
findPointsRtree , 0.00067
insertPoints , 0.64392
findPointsRtree , 0.00071
insertPoints , 0.63247
findPointsRtree , 0.00073
insertPoints , 0.92364
findPointsRtree , 0.00077
insertPoints , 1.05454
findPointsRtree , 0.00077
insertPoints , 0.65792
findPointsRtree , 0.00065
insertPoints , 0.73726
findPointsRtree , 0.00157
insertPoints , 0.65784
findPointsRtree , 0.00078
insertPoints , 0.70116
findPointsRtree , 0.00073
insertPoints , 0.57239
findPointsRtree , 0.00303
insertPoints , 0.79305
findPointsRtree , 0.00063
insertPoints , 0.74133
findPointsRtree , 0.00073
insertPoints , 0.7296
findPointsRtree , 0.00065
insertPoints , 0.55513
findPointsRtree , 0.00066
insertPoints , 0.65988
findPointsRtree , 0.00079
insertPoints , 0.69502
findPointsRtree , 0.00115
insertPoints , 0.5563
findPointsRtree , 0.00061
insertPoints , 0.67673
findPointsRtree , 0.00068
insertPoints , 0.66648
findPointsRtree , 0.00072
insertPoints , 0.83682
findPointsRtree , 0.00113
insertPoints , 0.62543
findPointsRtree , 0.00079
insertPoints , 0.64866
findPointsRtree , 0.00093
insertPoints , 0.63674
findPointsRtree , 0.00068
insertPoints , 0.74152
findPointsRtree , 0.0007
insertPoints , 0.7901
findPointsRtree , 0.00079
insertPoints , 0.68888
findPointsRtree , 0.00142
insertPoints , 0.69545
findPointsRtree , 0.00081
insertPoints , 0.77893
findPointsRtree , 0.00084
insertPoints , 0.75763
findPointsRtree , 0.00078
insertPoints , 0.76673
findPointsRtree , 0.0018
insertPoints , 0.79615
findPointsRtree , 0.00078
insertPoints , 0.76086
findPointsRtree , 0.00065
insertPoints , 0.74991
findPointsRtree , 0.00086
insertPoints , 0.71174
findPointsRtree , 0.00137
insertPoints , 0.73616
findPointsRtree , 0.00061
insertPoints , 0.68914
findPointsRtree , 0.00092
insertPoints , 0.60231
findPointsRtree , 0.0007
insertPoints , 0.58373
findPointsRtree , 0.00058
insertPoints , 0.66838
findPointsRtree , 0.00064
insertPoints , 0.63939
findPointsRtree , 0.00085
insertPoints , 0.68096
findPointsRtree , 0.00062
insertPoints , 0.75844
findPointsRtree , 0.00063
insertPoints , 0.68236
findPointsRtree , 0.00064
insertPoints , 0.86579
findPointsRtree , 0.00112
insertPoints , 0.73472
findPointsRtree , 0.00065
insertPoints , 0.61306
findPointsRtree , 0.00066
insertPoints , 0.67847
findPointsRtree , 0.00066
insertPoints , 0.57834
findPointsRtree , 0.00061
insertPoints , 0.60732
findPointsRtree , 0.00068
insertPoints , 0.50543
findPointsRtree , 0.00069
insertPoints , 0.62824
findPointsRtree , 0.00101
insertPoints , 0.62841
findPointsRtree , 0.00139
insertPoints , 0.6077
findPointsRtree , 0.0006
insertPoints , 0.61331
findPointsRtree , 0.0006
insertPoints , 0.54288
findPointsRtree , 0.00059
insertPoints , 0.62113
findPointsRtree , 0.00064
insertPoints , 0.6506
findPointsRtree , 0.00076
insertPoints , 0.66298
findPointsRtree , 0.00086
insertPoints , 0.68425
findPointsRtree , 0.00067
insertPoints , 0.68
findPointsRtree , 0.00073
insertPoints , 0.62693
findPointsRtree , 0.0007
insertPoints , 0.73119
findPointsRtree , 0.00067
insertPoints , 0.63721
findPointsRtree , 0.0007
insertPoints , 0.64168
findPointsRtree , 0.00059
insertPoints , 0.65078
findPointsRtree , 0.00063
insertPoints , 0.6956
findPointsRtree , 0.00084
insertPoints , 0.6969
findPointsRtree , 0.00074
insertPoints , 0.67065
findPointsRtree , 0.00066
insertPoints , 0.64297
findPointsRtree , 0.00068
insertPoints , 0.60944
findPointsRtree , 0.00062
insertPoints , 0.54382
findPointsRtree , 0.00061
insertPoints , 0.65978
findPointsRtree , 0.00062
insertPoints , 0.7065
findPointsRtree , 0.00061
insertPoints , 0.76669
findPointsRtree , 0.00083
insertPoints , 0.6834
findPointsRtree , 0.00079
insertPoints , 0.68185
findPointsRtree , 0.00061
insertPoints , 0.65096
findPointsRtree , 0.0006
insertPoints , 0.54173
findPointsRtree , 0.00073
insertPoints , 0.65752
findPointsRtree , 0.0006
insertPoints , 0.61543
findPointsRtree , 0.00065
insertPoints , 0.60294
findPointsRtree , 0.00061
insertPoints , 0.63252
findPointsRtree , 0.00084
insertPoints , 0.55985
findPointsRtree , 0.00074
insertPoints , 0.58628
findPointsRtree , 0.00087
insertPoints , 0.62351
findPointsRtree , 0.0007
insertPoints , 0.59926
findPointsRtree , 0.00063
insertPoints , 0.6603
findPointsRtree , 0.00067
insertPoints , 0.55096
findPointsRtree , 0.00097
insertPoints , 0.59372
findPointsRtree , 0.00061
insertPoints , 0.66544
findPointsRtree , 0.00069
insertPoints , 0.53906
findPointsRtree , 0.00094
insertPoints , 0.67558
findPointsRtree , 0.00061
insertPoints , 0.67896
findPointsRtree , 0.00075
insertPoints , 0.5506
findPointsRtree , 0.00067
insertPoints , 0.59642
findPointsRtree , 0.00064
insertPoints , 0.57289
findPointsRtree , 0.00061
insertPoints , 0.58133
findPointsRtree , 0.0006
insertPoints , 0.5718
findPointsRtree , 0.00068
insertPoints , 0.65749
findPointsRtree , 0.00062
insertPoints , 0.62023
findPointsRtree , 0.0006
insertPoints , 0.53858
findPointsRtree , 0.00071
insertPoints , 0.61648
findPointsRtree , 0.00065
insertPoints , 0.5579
findPointsRtree , 0.00068
insertPoints , 0.62984
findPointsRtree , 0.00063
insertPoints , 0.63813
findPointsRtree , 0.00064
insertPoints , 0.61237
findPointsRtree , 0.0007
insertPoints , 0.66843
findPointsRtree , 0.0007
insertPoints , 0.72718
findPointsRtree , 0.0007
insertPoints , 0.71102
findPointsRtree , 0.00088
insertPoints , 0.68614
findPointsRtree , 0.00068
insertPoints , 0.58234
findPointsRtree , 0.00122
insertPoints , 0.57638
findPointsRtree , 0.00075
insertPoints , 0.81198
findPointsRtree , 0.00086
insertPoints , 0.74539
findPointsRtree , 0.0007
insertPoints , 0.63211
findPointsRtree , 0.00087
insertPoints , 0.61191
findPointsRtree , 0.00065
insertPoints , 0.6431
findPointsRtree , 0.00071
insertPoints , 0.6195
findPointsRtree , 0.00117
insertPoints , 0.73699
findPointsRtree , 0.00065
insertPoints , 0.664
findPointsRtree , 0.00069
insertPoints , 0.61603
findPointsRtree , 0.00139
insertPoints , 0.59381
findPointsRtree , 0.0006
insertPoints , 0.65993
findPointsRtree , 0.00067
insertPoints , 0.59669
findPointsRtree , 0.00061
insertPoints , 0.60792
findPointsRtree , 0.00072
insertPoints , 0.641
findPointsRtree , 0.00074
insertPoints , 0.58619
findPointsRtree , 0.00066
insertPoints , 0.68101
findPointsRtree , 0.00061
insertPoints , 0.74605
findPointsRtree , 0.0006
insertPoints , 0.63696
findPointsRtree , 0.00062
insertPoints , 0.57177
findPointsRtree , 0.00067
insertPoints , 0.52956
findPointsRtree , 0.00096
insertPoints , 0.71429
findPointsRtree , 0.00061
insertPoints , 0.62818
findPointsRtree , 0.00064
insertPoints , 0.69495
findPointsRtree , 0.00064
insertPoints , 0.70704
findPointsRtree , 0.00062
insertPoints , 0.63993
findPointsRtree , 0.00123
insertPoints , 0.61264
findPointsRtree , 0.00064
insertPoints , 0.64692
findPointsRtree , 0.00067
insertPoints , 0.66453
findPointsRtree , 0.00158
insertPoints , 0.63031
findPointsRtree , 0.00064
insertPoints , 0.58811
findPointsRtree , 0.00066
insertPoints , 0.58801
findPointsRtree , 0.00145
insertPoints , 0.59138
findPointsRtree , 0.00069
insertPoints , 0.70016
findPointsRtree , 0.00076
insertPoints , 0.58314
findPointsRtree , 0.00061
insertPoints , 0.70332
findPointsRtree , 0.00064
insertPoints , 0.70499
findPointsRtree , 0.00069
insertPoints , 0.63
findPointsRtree , 0.00063
insertPoints , 0.64708
findPointsRtree , 0.00066
insertPoints , 0.63628
findPointsRtree , 0.00129
insertPoints , 0.60604
findPointsRtree , 0.00062
insertPoints , 0.67184
findPointsRtree , 0.00069
insertPoints , 0.66832
findPointsRtree , 0.00073
insertPoints , 0.64213
findPointsRtree , 0.00061
insertPoints , 0.6864
findPointsRtree , 0.0007
insertPoints , 0.69605
findPointsRtree , 0.00074
insertPoints , 0.58828
findPointsRtree , 0.00064
insertPoints , 0.61985
findPointsRtree , 0.00069
insertPoints , 0.7108
findPointsRtree , 0.00078
insertPoints , 0.65751
findPointsRtree , 0.00061
insertPoints , 0.70321
findPointsRtree , 0.00069
insertPoints , 0.63353
findPointsRtree , 0.0008
insertPoints , 0.59083
findPointsRtree , 0.00073
insertPoints , 0.67093
findPointsRtree , 0.00067
insertPoints , 0.64131
findPointsRtree , 0.00151
insertPoints , 0.63223
findPointsRtree , 0.00081
insertPoints , 0.6065
findPointsRtree , 0.00076
insertPoints , 0.68951
findPointsRtree , 0.00069
insertPoints , 0.60613
findPointsRtree , 0.00072
insertPoints , 0.70787
findPointsRtree , 0.00069
insertPoints , 0.65015
findPointsRtree , 0.00071
insertPoints , 0.67541
findPointsRtree , 0.00072
insertPoints , 0.7509
findPointsRtree , 0.00066
insertPoints , 0.62936
findPointsRtree , 0.00078
insertPoints , 0.71904
findPointsRtree , 0.0007
insertPoints , 0.69539
findPointsRtree , 0.0007
insertPoints , 0.55921
findPointsRtree , 0.00066
insertPoints , 0.6028
findPointsRtree , 0.00061
insertPoints , 0.71142
findPointsRtree , 0.00073
insertPoints , 0.64968
findPointsRtree , 0.00099
insertPoints , 0.59245
findPointsRtree , 0.00071
insertPoints , 0.76674
findPointsRtree , 0.00077
insertPoints , 0.67921
findPointsRtree , 0.00076
insertPoints , 0.64773
findPointsRtree , 0.00062
insertPoints , 0.81015
findPointsRtree , 0.00065
insertPoints , 0.64885
findPointsRtree , 0.00071
insertPoints , 0.557
findPointsRtree , 0.00065
insertPoints , 0.67694
findPointsRtree , 0.00073
insertPoints , 0.8312
findPointsRtree , 0.00078
insertPoints , 0.59215
findPointsRtree , 0.00065
insertPoints , 0.55102
findPointsRtree , 0.00064
insertPoints , 0.48721
findPointsRtree , 0.00071
insertPoints , 0.69075
findPointsRtree , 0.00062
insertPoints , 0.69132
findPointsRtree , 0.00073
insertPoints , 0.6409
findPointsRtree , 0.00073
insertPoints , 0.58962
findPointsRtree , 0.00082
insertPoints , 0.65223
findPointsRtree , 0.00181
insertPoints , 0.77717
findPointsRtree , 0.00062
insertPoints , 0.69308
findPointsRtree , 0.00064
insertPoints , 0.68121
findPointsRtree , 0.0007
insertPoints , 0.63181
findPointsRtree , 0.00086
insertPoints , 0.65869
findPointsRtree , 0.00067
insertPoints , 0.61052
findPointsRtree , 0.00072
insertPoints , 0.58168
findPointsRtree , 0.00068
insertPoints , 0.64692
findPointsRtree , 0.00085
insertPoints , 0.60501
findPointsRtree , 0.00074
insertPoints , 0.66981
findPointsRtree , 0.00093
insertPoints , 0.65984
findPointsRtree , 0.00072
insertPoints , 0.80899
findPointsRtree , 0.00082
insertPoints , 0.66497
findPointsRtree , 0.00071
insertPoints , 0.61006
findPointsRtree , 0.00087
insertPoints , 0.6046
findPointsRtree , 0.00067
insertPoints , 0.6924
findPointsRtree , 0.0007
insertPoints , 0.65302
findPointsRtree , 0.00067
insertPoints , 0.56375
findPointsRtree , 0.00066
insertPoints , 0.63655
findPointsRtree , 0.00063
insertPoints , 0.49609
findPointsRtree , 0.00078
insertPoints , 0.62611
findPointsRtree , 0.00064
insertPoints , 0.65716
findPointsRtree , 0.00065
insertPoints , 0.74688
findPointsRtree , 0.00123
insertPoints , 0.70942
findPointsRtree , 0.00072
