Func,runtime
insertPoints , 1.43927
findPoints , 0.05393
insertPoints , 1.40588
findPoints , 0.05344
insertPoints , 1.37714
findPoints , 0.05347
insertPoints , 1.4103
findPoints , 0.05371
insertPoints , 1.4124
findPoints , 0.05482
insertPoints , 1.44666
findPoints , 0.05432
insertPoints , 1.40523
findPoints , 0.05502
insertPoints , 1.40681
findPoints , 0.05438
insertPoints , 1.39336
findPoints , 0.05349
insertPoints , 1.34404
findPoints , 0.05371
insertPoints , 1.38553
findPoints , 0.0537
insertPoints , 1.44872
findPoints , 0.0545
insertPoints , 1.39615
findPoints , 0.05454
insertPoints , 1.41689
findPoints , 0.0537
insertPoints , 1.40819
findPoints , 0.05353
insertPoints , 1.43957
findPoints , 0.05548
insertPoints , 1.38529
findPoints , 0.05404
insertPoints , 1.3885
findPoints , 0.05515
insertPoints , 1.54935
findPoints , 0.06065
insertPoints , 1.4345
findPoints , 0.05352
insertPoints , 1.41015
findPoints , 0.05591
insertPoints , 1.4129
findPoints , 0.05486
insertPoints , 1.42281
findPoints , 0.0535
insertPoints , 1.40267
findPoints , 0.05453
insertPoints , 1.31405
findPoints , 0.05351
insertPoints , 1.43978
findPoints , 0.05344
insertPoints , 1.4242
findPoints , 0.05345
insertPoints , 1.36284
findPoints , 0.05347
insertPoints , 1.43559
findPoints , 0.0571
insertPoints , 1.46677
findPoints , 0.05355
insertPoints , 1.40285
findPoints , 0.05473
insertPoints , 1.40781
findPoints , 0.05355
insertPoints , 1.43736
findPoints , 0.05344
insertPoints , 1.39047
findPoints , 0.05385
insertPoints , 1.381
findPoints , 0.05352
insertPoints , 1.31091
findPoints , 0.05484
insertPoints , 1.39669
findPoints , 0.05351
insertPoints , 1.33682
findPoints , 0.05446
insertPoints , 1.34005
findPoints , 0.05654
insertPoints , 1.33351
findPoints , 0.05364
insertPoints , 1.51842
findPoints , 0.05692
insertPoints , 1.40731
findPoints , 0.05363
insertPoints , 1.41246
findPoints , 0.05573
insertPoints , 1.32348
findPoints , 0.05593
insertPoints , 1.31365
findPoints , 0.05572
insertPoints , 1.46491
findPoints , 0.06035
insertPoints , 1.74695
findPoints , 0.05516
insertPoints , 1.4358
findPoints , 0.05583
insertPoints , 1.35822
findPoints , 0.0542
